Entity,Year,Deaths,GDP_per_capita,population
Japan,2011,3.667772157381671,35774.6967129559,128498966
Japan,2012,3.5162447674501296,37191.3859456258,128423571
Japan,2013,3.235477511179346,38974.0794886127,128314189
Japan,2014,3.1355597668979596,39179.155610609,128168630
Japan,2015,2.8775639461629443,40388.5527720976,127985139
Japan,2016,2.751882851428054,39964.2770077463,127763267
Japan,2017,2.6252714931753682,40966.5932189946,127502728
Thailand,2000,47.151246350408954,7302.89176455799,62952639
Thailand,2001,44.5016646021827,7648.85517154723,63539190
Thailand,2002,41.75739635493174,8179.39791825619,64069093
Thailand,2003,39.300583548914524,8863.74089898519,64549867
Thailand,2004,36.55827333807096,9608.54569481236,64995303
Thailand,2005,33.8473823373485,10256.3348319773,65416189
Thailand,2006,31.351086706459586,11024.8482113762,65812539
Thailand,2007,28.375679069840857,11869.6744503848,66182064
Thailand,2008,25.294653254013834,12244.8189389977,66530979
Thailand,2009,22.445991104065108,12191.4143933543,66866834
Thailand,2010,19.4361835133067,13195.3710969019,67195032
Thailand,2011,17.646709118491678,13519.1290212159,67518379
Thailand,2012,17.075703148489655,14870.9755534493,67835969
Thailand,2013,15.470812680964077,15407.6654018139,68144519
Thailand,2014,15.505559736591922,15480.2107903621,68438748
Thailand,2015,15.567219909400576,15822.3709934811,68714519
Thailand,2016,15.964831162138388,16616.1950047178,68971313
Thailand,2017,14.980782169967291,17422.9523512059,69209817
United States,2000,5.081243150647581,36334.9087770589,281710914
United States,2001,4.852498284144038,37133.2428088526,284607992
United States,2002,4.8819704001748,38023.1611144021,287279312
United States,2003,4.887963385602209,39496.4858751381,289815567
United States,2004,4.725875774088167,41712.8010675545,292354663
United States,2005,4.83992548185866,44114.7477810544,294993509
United States,2006,4.7802289668334925,46298.7314440927,297758977
United States,2007,4.647154411849663,47975.9676958038,300608425
United States,2008,4.272679097645544,48382.5584490552,303486022
United States,2009,3.889125498163075,47099.9804711343,306307565
United States,2010,3.5439172469302935,48466.6576026922,309011469
United States,2011,3.5054288519863968,49882.5581321495,311584051
United States,2012,3.453061480201104,51602.9310457907,314043885
United States,2013,3.4672283868419314,53106.5367672165,316400539
United States,2014,3.4533665258523984,55049.9883272312,318673422
United States,2015,3.463799272662495,56863.3714957652,320878312
United States,2016,3.4328612942138914,58021.4004997125,323015992
United States,2017,3.2680778892160958,60109.6557260477,325084758
